,background,1,2,3,4
shut,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
type,0.000920526,5.13E-08,6.38E-08,6.03E-08,1.52E-07
we're,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s029}!,3.07E-08,5.13E-08,6.38E-08,0.000603519,1.52E-07
{s021},3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
s043.,3.07E-08,5.13E-08,0.000638179,6.03E-08,1.52E-07
changes,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
findthe,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
leave,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
challenged,0.001227358,5.13E-08,0.006381218,6.03E-08,1.52E-07
around,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
care,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
didnt,0.002147853,0.001540002,6.38E-08,6.03E-08,1.52E-07
with,0.003988844,0.004619903,0.009571795,6.03E-08,0.047104403
gets,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
s056,3.07E-08,0.000513368,0.000638179,6.03E-08,1.52E-07
challenger,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
third,0.001227358,5.13E-08,6.38E-08,6.03E-08,1.52E-07
attractes,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
than,0.000613694,0.002566635,6.38E-08,6.03E-08,1.52E-07
revoicer,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
2nd,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
lines,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
glocos,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
shes,3.07E-08,5.13E-08,6.38E-08,6.03E-08,0.001519644
written,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s046},0.00153419,5.13E-08,6.38E-08,6.03E-08,1.52E-07
couple,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
s044,0.000306862,5.13E-08,0.000638179,6.03E-08,1.52E-07
s057.,3.07E-08,5.13E-08,0.000638179,6.03E-08,1.52E-07
absorbed,3.07E-08,5.13E-08,6.38E-08,6.03E-08,0.001519644
agree,0.002147853,0.000513368,0.008933679,6.03E-08,1.52E-07
called,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
s020,3.07E-08,0.000513368,0.00191441,6.03E-08,1.52E-07
word,0.000920526,5.13E-08,6.38E-08,6.03E-08,1.52E-07
now,0.010432312,5.13E-08,0.002552525,0.017500358,1.52E-07
hood,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
areu,3.07E-08,5.13E-08,6.38E-08,6.03E-08,0.001519644
observed,0.008591321,5.13E-08,6.38E-08,0.019310733,1.52E-07
amount,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
mkkk.,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s004},0.000613694,5.13E-08,0.000638179,6.03E-08,1.52E-07
lol,0.002454685,5.13E-08,6.38E-08,6.03E-08,1.52E-07
but,0.002454685,0.003593269,6.38E-08,6.03E-08,1.52E-07
omqq,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
nope,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
perosn,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
doctor,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
strarch,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
hope,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s042},0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
s043,3.07E-08,5.13E-08,0.001276295,6.03E-08,1.52E-07
help!,0.000306862,0.000513368,6.38E-08,6.03E-08,1.52E-07
home,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
bcuz,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
waterr,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
umm,0.000306862,0.000513368,6.38E-08,6.03E-08,1.52E-07
all.,3.07E-08,0.007699803,6.38E-08,0.00844848,1.52E-07
dunt,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
fazt,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
isnt,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
dumb,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
gluecose/,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
showing,3.07E-08,5.13E-08,6.38E-08,0.009051938,1.52E-07
baad,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s008},3.07E-08,5.13E-08,0.001276295,6.03E-08,1.52E-07
hate,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
ontha,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
ask,0.00153419,5.13E-08,0.003828756,6.03E-08,1.52E-07
mom,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
talk!!!,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
rest,0.00153419,5.13E-08,6.38E-08,6.03E-08,1.52E-07
doing....,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
disperssed,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
weighht,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
again,0.000306862,0.001540002,0.000638179,6.03E-08,1.52E-07
s041,0.000613694,0.000513368,0.00191441,6.03E-08,1.52E-07
any,0.00153419,5.13E-08,6.38E-08,6.03E-08,1.52E-07
screen,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s047},0.001841021,5.13E-08,0.001276295,6.03E-08,1.52E-07
{s064},0.001227358,5.13E-08,6.38E-08,6.03E-08,1.52E-07
two<,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
h20,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
want,0.000306862,0.001026685,6.38E-08,6.03E-08,1.52E-07
looking,3.07E-08,0.007186487,6.38E-08,0.001810436,1.52E-07
mark,0.003988844,5.13E-08,6.38E-08,6.03E-08,1.52E-07
slowlyu,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
s027.,3.07E-08,5.13E-08,0.000638179,6.03E-08,1.52E-07
top,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
{s060},0.000306862,5.13E-08,0.00191441,6.03E-08,1.52E-07
lost,0.000920526,0.003079952,6.38E-08,6.03E-08,1.52E-07
side.,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
neither,3.07E-08,5.13E-08,6.38E-08,0.000603519,1.52E-07
their,0.000613694,5.13E-08,0.008295564,6.03E-08,1.52E-07
understand,0.001227358,5.13E-08,6.38E-08,6.03E-08,1.52E-07
