,background,1,2,3,4
89,9.09E-06,9.09E-06,9.09E-06,0.999963638,9.09E-06
90,2.50E-05,0.999900012,2.50E-05,2.50E-05,2.50E-05
91,1.00E-05,0.999960002,1.00E-05,1.00E-05,1.00E-05
92,1.25E-05,1.25E-05,0.999950003,1.25E-05,1.25E-05
93,5.88E-06,0.999976471,5.88E-06,5.88E-06,5.88E-06
94,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
95,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
96,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
97,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
98,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
99,2.86E-06,0.999988572,2.86E-06,2.86E-06,2.86E-06
100,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
101,1.11E-05,1.11E-05,1.11E-05,0.999955558,1.11E-05
102,2.38E-06,2.38E-06,0.999990476,2.38E-06,2.38E-06
103,2.50E-05,2.50E-05,0.999900012,2.50E-05,2.50E-05
104,0.2,2.00E-06,0.799994,2.00E-06,2.00E-06
105,1.43E-05,0.999942861,1.43E-05,1.43E-05,1.43E-05
106,2.08E-06,2.08E-06,0.999991667,2.08E-06,2.08E-06
107,0.999942861,1.43E-05,1.43E-05,1.43E-05,1.43E-05
108,0.999976471,5.88E-06,5.88E-06,5.88E-06,5.88E-06
109,2.94E-06,2.94E-06,2.94E-06,0.999988235,2.94E-06
110,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
111,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
112,4.00E-06,4.00E-06,4.00E-06,0.999984,4.00E-06
113,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
114,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
115,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
116,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
117,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
118,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
119,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
120,0.999973334,6.67E-06,6.67E-06,6.67E-06,6.67E-06
121,0.9996002,1.00E-04,1.00E-04,1.00E-04,1.00E-04
122,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
123,5.00E-05,0.99980005,5.00E-05,5.00E-05,5.00E-05
124,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
125,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
126,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.999988889
127,0.999978948,5.26E-06,5.26E-06,5.26E-06,5.26E-06
128,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
129,5.00E-05,5.00E-05,5.00E-05,5.00E-05,0.99980005
130,0.999950003,1.25E-05,1.25E-05,1.25E-05,1.25E-05
131,0.9996002,1.00E-04,1.00E-04,1.00E-04,1.00E-04
132,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
133,5.88E-06,5.88E-06,5.88E-06,0.999976471,5.88E-06
134,8.33E-06,8.33E-06,8.33E-06,0.999966668,8.33E-06
135,6.67E-06,6.67E-06,6.67E-06,6.67E-06,0.999973334
136,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
137,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
138,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
139,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
140,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
141,0.999950003,1.25E-05,1.25E-05,1.25E-05,1.25E-05
142,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
143,0.624973439,0.374989063,1.25E-05,1.25E-05,1.25E-05
144,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
145,2.00E-05,0.999920008,2.00E-05,2.00E-05,2.00E-05
146,0.999942861,1.43E-05,1.43E-05,1.43E-05,1.43E-05
147,3.33E-05,0.999866689,3.33E-05,3.33E-05,3.33E-05
148,0.9996002,1.00E-04,1.00E-04,1.00E-04,1.00E-04
149,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
150,6.67E-06,0.999973334,6.67E-06,6.67E-06,6.67E-06
151,0.611099692,0.388883642,5.56E-06,5.56E-06,5.56E-06
152,2.00E-05,0.999920008,2.00E-05,2.00E-05,2.00E-05
153,0.9996002,1.00E-04,1.00E-04,1.00E-04,1.00E-04
154,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
155,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
156,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
157,0.999950003,1.25E-05,1.25E-05,1.25E-05,1.25E-05
158,0.999987879,3.03E-06,3.03E-06,3.03E-06,3.03E-06
159,2.50E-05,2.50E-05,2.50E-05,0.999900012,2.50E-05
160,1.25E-05,0.999950003,1.25E-05,1.25E-05,1.25E-05
161,0.999975001,6.25E-06,6.25E-06,6.25E-06,6.25E-06
162,0.9996002,1.00E-04,1.00E-04,1.00E-04,1.00E-04
163,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
164,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
165,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
166,1.67E-05,0.999933339,1.67E-05,1.67E-05,1.67E-05
167,0.285712245,0.71427347,4.76E-06,4.76E-06,4.76E-06
168,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
169,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
170,0.999966668,8.33E-06,8.33E-06,8.33E-06,8.33E-06
171,0.999960002,1.00E-05,1.00E-05,1.00E-05,1.00E-05
172,2.86E-06,0.999988572,2.86E-06,2.86E-06,2.86E-06
173,1.11E-05,1.11E-05,1.11E-05,0.999955558,1.11E-05
174,1.11E-05,0.999955558,1.11E-05,1.11E-05,1.11E-05
175,2.38E-06,2.38E-06,0.999990476,2.38E-06,2.38E-06
176,2.00E-06,2.00E-06,0.999992,2.00E-06,2.00E-06
177,2.08E-06,2.08E-06,0.999991667,2.08E-06,2.08E-06
178,0.999976471,5.88E-06,5.88E-06,5.88E-06,5.88E-06
179,5.56E-06,5.56E-06,5.56E-06,0.999977778,5.56E-06
180,4.00E-06,4.00E-06,4.00E-06,0.999984,4.00E-06
181,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
182,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
183,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
184,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
185,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.999988889
186,0.999978948,5.26E-06,5.26E-06,5.26E-06,5.26E-06
187,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
188,1.11E-05,1.11E-05,0.999955558,1.11E-05,1.11E-05
189,1.11E-05,0.999955558,1.11E-05,1.11E-05,1.11E-05
190,1.11E-05,1.11E-05,0.999955558,1.11E-05,1.11E-05
191,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
192,0.999969232,7.69E-06,7.69E-06,7.69E-06,7.69E-06
193,5.88E-06,5.88E-06,5.88E-06,0.999976471,5.88E-06
194,8.33E-06,8.33E-06,8.33E-06,0.999966668,8.33E-06
195,6.67E-06,6.67E-06,6.67E-06,6.67E-06,0.999973334
196,1.00E-05,0.999960002,1.00E-05,1.00E-05,1.00E-05
197,0.799940006,0.2,2.00E-05,2.00E-05,2.00E-05
198,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
199,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
200,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
201,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
202,0.999987879,3.03E-06,3.03E-06,3.03E-06,3.03E-06
203,2.50E-05,2.50E-05,2.50E-05,0.999900012,2.50E-05
204,1.25E-05,0.999950003,1.25E-05,1.25E-05,1.25E-05
205,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
206,2.86E-06,0.999988572,2.86E-06,2.86E-06,2.86E-06
207,1.11E-05,1.11E-05,1.11E-05,0.999955558,1.11E-05
208,1.11E-05,0.999955558,1.11E-05,1.11E-05,1.11E-05
209,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
210,2.38E-06,2.38E-06,0.999990476,2.38E-06,2.38E-06
211,0.9599924,2.00E-06,0.0400016,2.00E-06,2.00E-06
212,2.08E-06,2.08E-06,0.999991667,2.08E-06,2.08E-06
213,0.999976471,5.88E-06,5.88E-06,5.88E-06,5.88E-06
214,5.56E-06,5.56E-06,5.56E-06,0.999977778,5.56E-06
215,4.00E-06,4.00E-06,4.00E-06,0.999984,4.00E-06
216,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
217,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
218,0.9996002,1.00E-04,1.00E-04,1.00E-04,1.00E-04
219,0.999942861,1.43E-05,1.43E-05,1.43E-05,1.43E-05
220,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.999988889
221,0.999978948,5.26E-06,5.26E-06,5.26E-06,5.26E-06
222,0.999950003,1.25E-05,1.25E-05,1.25E-05,1.25E-05
223,0.647045675,5.88E-06,0.352936678,5.88E-06,5.88E-06
224,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
225,0.799980001,6.67E-06,0.2,6.67E-06,6.67E-06
226,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
227,0.058827682,5.88E-06,5.88E-06,0.941154672,5.88E-06
228,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
229,8.33E-06,8.33E-06,8.33E-06,0.999966668,8.33E-06
230,6.67E-06,6.67E-06,6.67E-06,6.67E-06,0.999973334
231,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
232,3.33E-05,0.999866689,3.33E-05,3.33E-05,3.33E-05
233,0.888850619,1.11E-05,1.11E-05,1.11E-05,0.111116049
234,4.76E-06,0.999980953,4.76E-06,4.76E-06,4.76E-06
235,1.25E-05,0.999950003,1.25E-05,1.25E-05,1.25E-05
236,0.9996002,1.00E-04,1.00E-04,1.00E-04,1.00E-04
237,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
238,2.50E-05,2.50E-05,2.50E-05,0.999900012,2.50E-05
239,1.43E-05,0.999942861,1.43E-05,1.43E-05,1.43E-05
240,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
241,0.833315741,0.166667593,5.56E-06,5.56E-06,5.56E-06
242,1.43E-05,1.43E-05,1.43E-05,1.43E-05,0.999942861
243,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
244,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
245,1.00E-05,0.999960002,1.00E-05,1.00E-05,1.00E-05
246,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
247,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
248,0.999963638,9.09E-06,9.09E-06,9.09E-06,9.09E-06
249,0.999955558,1.11E-05,1.11E-05,1.11E-05,1.11E-05
250,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
251,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
252,8.33E-06,0.999966668,8.33E-06,8.33E-06,8.33E-06
253,0.647045675,5.88E-06,0.352936678,5.88E-06,5.88E-06
254,0.999960002,1.00E-05,1.00E-05,1.00E-05,1.00E-05
255,0.999987879,3.03E-06,3.03E-06,3.03E-06,3.03E-06
256,2.00E-05,0.999920008,2.00E-05,2.00E-05,2.00E-05
257,0.999976471,5.88E-06,5.88E-06,5.88E-06,5.88E-06
258,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
259,2.00E-05,0.999920008,2.00E-05,2.00E-05,2.00E-05
260,0.357137245,0.642841327,7.14E-06,7.14E-06,7.14E-06
261,8.33E-06,8.33E-06,0.999966668,8.33E-06,8.33E-06
262,1.11E-05,0.999955558,1.11E-05,1.11E-05,1.11E-05
263,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
264,0.499985001,0.499985001,1.00E-05,1.00E-05,1.00E-05
265,5.00E-05,5.00E-05,5.00E-05,0.99980005,5.00E-05
266,8.33E-06,8.33E-06,0.999966668,8.33E-06,8.33E-06
267,0.999950003,1.25E-05,1.25E-05,1.25E-05,1.25E-05
268,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
269,2.50E-05,2.50E-05,2.50E-05,0.999900012,2.50E-05
270,1.25E-05,0.999950003,1.25E-05,1.25E-05,1.25E-05
271,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
272,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
273,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
274,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
275,0.999942861,1.43E-05,1.43E-05,1.43E-05,1.43E-05
276,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
277,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
278,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
279,1.00E-05,0.999960002,1.00E-05,1.00E-05,1.00E-05
280,0.999942861,1.43E-05,1.43E-05,1.43E-05,1.43E-05
281,0.434777505,4.35E-06,4.35E-06,4.35E-06,0.565209452
282,4.76E-06,4.76E-06,4.76E-06,4.76E-06,0.999980953
283,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
284,0.944423766,0.055559568,5.56E-06,5.56E-06,5.56E-06
285,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
286,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
287,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
288,0.999942861,1.43E-05,1.43E-05,1.43E-05,1.43E-05
289,0.299995,0.699975001,1.00E-05,1.00E-05,1.00E-05
290,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
291,2.00E-05,0.999920008,2.00E-05,2.00E-05,2.00E-05
292,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
293,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
294,0.833306946,8.33E-06,8.33E-06,8.33E-06,0.166668055
295,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
296,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
297,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
298,2.86E-06,0.999988572,2.86E-06,2.86E-06,2.86E-06
299,1.11E-05,1.11E-05,1.11E-05,0.999955558,1.11E-05
