,background,1,2,3,4
shut,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
type,0.000691727,5.84E-08,1.27E-07,6.97E-08,1.22E-07
we're,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s029}!,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s021},2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
s043.,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
changes,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
findthe,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
leave,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
challenged,2.31E-08,5.84E-08,1.27E-07,0.009755387,1.22E-07
around,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
care,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
didnt,0.002075135,5.84E-08,1.27E-07,6.97E-08,0.001223941
with,0.00507252,0.022181877,1.27E-07,0.005574537,1.22E-07
gets,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
s056,2.31E-08,5.84E-08,1.27E-07,0.000696878,0.001223941
challenger,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
third,0.000922295,5.84E-08,1.27E-07,6.97E-08,1.22E-07
attractes,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
than,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.008566851
revoicer,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
2nd,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
lines,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
glocos,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
shes,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
written,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s046},0.000922295,0.00058379,1.27E-07,6.97E-08,1.22E-07
couple,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
s044,2.31E-08,5.84E-08,1.27E-07,0.001393687,1.22E-07
s057.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
absorbed,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
agree,0.000922295,0.001751255,1.27E-07,0.010452196,1.22E-07
called,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
s020,2.31E-08,0.001167523,1.27E-07,0.001393687,1.22E-07
word,0.000691727,5.84E-08,1.27E-07,6.97E-08,1.22E-07
now,0.000230591,0.021598145,0.03684355,6.97E-08,1.22E-07
hood,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
areu,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
observed,2.31E-08,5.84E-08,0.076227899,6.97E-08,1.22E-07
amount,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
mkkk.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s004},0.000691727,5.84E-08,1.27E-07,6.97E-08,1.22E-07
lol,0.001844567,5.84E-08,1.27E-07,6.97E-08,1.22E-07
but,0.002997407,0.001167523,1.27E-07,6.97E-08,1.22E-07
omqq,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
nope,2.31E-08,5.84E-08,0.002541053,6.97E-08,1.22E-07
perosn,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
doctor,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
strarch,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
hope,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
{s042},2.31E-08,0.001167523,1.27E-07,6.97E-08,1.22E-07
s043,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
help!,2.31E-08,5.84E-08,0.002541053,6.97E-08,1.22E-07
home,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
bcuz,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
waterr,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
umm,2.31E-08,0.001167523,1.27E-07,6.97E-08,1.22E-07
all.,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.035490856
dunt,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
fazt,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
isnt,2.31E-08,0.001167523,1.27E-07,6.97E-08,1.22E-07
dumb,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
gluecose/,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
showing,2.31E-08,0.00875604,1.27E-07,6.97E-08,1.22E-07
baad,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s008},2.31E-08,5.84E-08,1.27E-07,0.001393687,1.22E-07
hate,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
ontha,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
ask,0.001844567,5.84E-08,0.003811516,6.97E-08,1.22E-07
mom,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
talk!!!,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
rest,0.001152863,5.84E-08,1.27E-07,6.97E-08,1.22E-07
doing....,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
disperssed,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
weighht,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
again,0.001152863,5.84E-08,1.27E-07,6.97E-08,1.22E-07
s041,0.001152863,5.84E-08,1.27E-07,0.000696878,1.22E-07
any,0.001152863,5.84E-08,1.27E-07,6.97E-08,1.22E-07
screen,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s047},0.001844567,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s064},0.000922295,5.84E-08,1.27E-07,6.97E-08,1.22E-07
two<,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
h20,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
want,0.000691727,5.84E-08,1.27E-07,6.97E-08,1.22E-07
looking,0.000230591,5.84E-08,1.27E-07,6.97E-08,0.019581217
mark,0.002997407,5.84E-08,1.27E-07,6.97E-08,1.22E-07
slowlyu,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
s027.,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
top,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s060},0.000230591,0.001167523,1.27E-07,0.000696878,1.22E-07
lost,0.002075135,5.84E-08,1.27E-07,6.97E-08,1.22E-07
side.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
neither,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
their,2.31E-08,5.84E-08,0.00127059,0.009755387,1.22E-07
understand,0.000230591,0.001751255,1.27E-07,6.97E-08,1.22E-07
solution,2.31E-08,0.019263217,1.27E-07,6.97E-08,1.22E-07
wat,0.002305703,5.84E-08,1.27E-07,6.97E-08,0.001223941
hav,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
confusing....,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
all,0.0073782,5.84E-08,1.27E-07,6.97E-08,1.22E-07
agreement,2.31E-08,0.00875604,1.27E-07,6.97E-08,1.22E-07
5hrs,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
desktop,0.003689112,5.84E-08,1.27E-07,6.97E-08,1.22E-07
mesomething,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
all!,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.01713358
hoody,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
momma,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
okkaaaaayyyy.,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
criticize,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
day,0.001383431,5.84E-08,1.27E-07,6.97E-08,1.22E-07
weighed,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
questions,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
longest,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
