,1,2,3,4,5
1,0.986422264,0.00339441,0.003394451,0.003394458,0.003394417
2,0.013921294,0.013921294,0.013921294,0.013921294,0.944314824
3,0.06196273,0.75214908,0.06196273,0.06196273,0.06196273
4,0.002766815,0.988932839,0.002766785,0.002766762,0.0027668
5,0.002166047,0.991335877,0.002166027,0.00216602,0.00216603
6,0.075541584,0.002948643,0.915612665,0.002948461,0.002948647
7,0.005458017,0.005457957,0.005458015,0.978167994,0.005458017
8,0.036660295,0.036660295,0.85335882,0.036660295,0.036660295
9,0.965630431,0.008592453,0.008592311,0.008592077,0.008592729
10,0.003672049,0.00367207,0.003672049,0.985311774,0.003672059
11,0.218447114,0.005811467,0.005811376,0.005811554,0.764118488
12,0.976754295,0.005811542,0.005811462,0.005811281,0.00581142
13,0.00784193,0.00784171,0.968632394,0.007841923,0.007842043
14,0.836416521,0.008592216,0.137806711,0.008592171,0.00859238
15,0.0078419,0.007841852,0.968632445,0.007842041,0.007841762
16,0.004617786,0.004616301,0.00461613,0.981533538,0.004616245
17,0.036660295,0.036660295,0.85335882,0.036660295,0.036660295
18,0.005458281,0.005458069,0.005458248,0.005458123,0.978167279
19,0.003527817,0.003527825,0.003527847,0.003527825,0.985888687
20,0.026030684,0.026030684,0.895877263,0.026030684,0.026030684
21,0.375562294,0.183771204,0.412823531,0.013921294,0.013921677
22,0.279053132,0.020180022,0.660406845,0.020179625,0.020180376
23,0.020180948,0.020179625,0.713806157,0.020179645,0.225653626
24,0.315976376,0.026030684,0.026030717,0.026030684,0.605931538
25,0.003672049,0.00367207,0.003672049,0.985311774,0.003672059
26,0.218447114,0.005811467,0.005811376,0.005811554,0.764118488
27,0.976754295,0.005811542,0.005811462,0.005811281,0.00581142
28,0.005811387,0.005811236,0.005811289,0.891801838,0.09076425
29,0.853353654,0.036664258,0.036660295,0.036661485,0.036660307
30,0.278321272,0.349143626,0.013922488,0.013921294,0.344691321
31,0.036663619,0.853346908,0.036664363,0.036660295,0.036664816
32,0.036661641,0.036660798,0.036661671,0.853354841,0.036661049
33,0.026031874,0.399272996,0.522632118,0.026030684,0.026032327
34,0.00784193,0.00784171,0.968632394,0.007841923,0.007842043
35,0.836416521,0.008592216,0.137806711,0.008592171,0.00859238
36,0.0078419,0.007841852,0.968632445,0.007842041,0.007841762
37,0.008592382,0.00859206,0.008592163,0.965631307,0.008592089
38,0.013923453,0.582212433,0.013922159,0.376018994,0.013922961
39,0.036660295,0.036660295,0.853358815,0.036660301,0.036660295
40,0.020180395,0.020180419,0.919279291,0.020179625,0.020180271
41,0.020179625,0.020179625,0.919281349,0.020179776,0.020179625
42,0.007841852,0.007841635,0.007841994,0.417789578,0.55868494
43,0.95178938,0.012052543,0.012052768,0.012052817,0.012052492
44,0.026030684,0.026030684,0.895877263,0.026030684,0.026030684
45,0.375562294,0.183771204,0.412823531,0.013921294,0.013921677
46,0.06196273,0.06196273,0.75214908,0.06196273,0.06196273
47,0.849823749,0.13380193,0.005457972,0.005458393,0.005457956
48,0.377912896,0.150305325,0.010626286,0.450529473,0.01062602
49,0.986422264,0.00339441,0.003394451,0.003394458,0.003394417
50,0.013921294,0.013921294,0.013921294,0.013921294,0.944314824
51,0.026030684,0.026030684,0.621120391,0.026030684,0.300787557
52,0.013921571,0.013921441,0.013921376,0.013921294,0.944314318
53,0.036660295,0.036660295,0.85335882,0.036660295,0.036660295
54,0.002766815,0.988932808,0.002766785,0.002766762,0.002766831
55,0.002166047,0.991335877,0.002166027,0.00216602,0.00216603
56,0.002532695,0.27338774,0.002532622,0.00253265,0.719014293
57,0.006675761,0.006675595,0.973297283,0.006675505,0.006675856
58,0.036660295,0.036660295,0.85335882,0.036660295,0.036660295
59,0.075541584,0.002948643,0.915612665,0.002948461,0.002948647
60,0.005458017,0.005457957,0.005458015,0.978167994,0.005458017
61,0.965630431,0.008592453,0.008592311,0.008592077,0.008592729
62,0.009502232,0.130880676,0.00950157,0.727816406,0.122299115
63,0.009501425,0.009501449,0.009501438,0.009501314,0.961994374
64,0.012052568,0.012052607,0.01205259,0.012052384,0.95178985
65,0.003672049,0.00367207,0.003672049,0.985311774,0.003672059
66,0.218447114,0.005811467,0.005811376,0.005811554,0.764118488
67,0.008592611,0.112253177,0.008592175,0.86196997,0.008592066
68,0.009501425,0.009501449,0.009501438,0.009501314,0.961994374
69,0.036660295,0.036660295,0.444802362,0.036660295,0.445216754
70,0.976754295,0.005811542,0.005811462,0.005811281,0.00581142
71,0.712505497,0.009501672,0.009502001,0.258989458,0.009501372
72,0.00784193,0.00784171,0.968632394,0.007841923,0.007842043
73,0.836416521,0.008592216,0.137806711,0.008592171,0.00859238
74,0.0078419,0.007841852,0.968632445,0.007842041,0.007841762
75,0.036660295,0.036660295,0.85335882,0.036660295,0.036660295
76,0.026030684,0.026030684,0.026033079,0.895874869,0.026030684
77,0.026030684,0.026030684,0.895876554,0.026030684,0.026031394
78,0.026032564,0.026031264,0.895872704,0.026032131,0.026031336
79,0.016476675,0.016476691,0.934093855,0.016476183,0.016476596
80,0.036660295,0.036662042,0.445009558,0.036660295,0.44500781
81,0.026030684,0.026030684,0.895876186,0.026031762,0.026030684
82,0.036660295,0.036660295,0.85335882,0.036660295,0.036660295
83,0.005458281,0.005458069,0.005458248,0.005458123,0.978167279
84,0.003527817,0.003527825,0.003527847,0.003527825,0.985888687
85,0.026030684,0.026030684,0.895877263,0.026030684,0.026030684
86,0.375562294,0.183771204,0.412823531,0.013921294,0.013921677
87,0.036660295,0.036660295,0.036660412,0.445009113,0.445009884
88,0.036663375,0.036661246,0.036664015,0.853349988,0.036661377
89,0.732683447,0.009501917,0.009501936,0.238810535,0.009502166
90,0.605893863,0.026030684,0.026031778,0.026031535,0.31601214
91,0.012053671,0.414714417,0.012052929,0.549126594,0.01205239
92,0.694506031,0.020179625,0.020179625,0.020179625,0.244955094
93,0.623703365,0.171388344,0.007212218,0.19048441,0.007211664
94,0.02017964,0.694506071,0.244954261,0.020180402,0.020179625
95,0.020181553,0.244955083,0.694504093,0.020179646,0.020179625
96,0.438712679,0.036660295,0.036663849,0.451302882,0.036660295
97,0.036660295,0.036660295,0.453401437,0.036660295,0.436617679
98,0.036660295,0.036660295,0.453401437,0.036660295,0.436617679
99,0.986422264,0.00339441,0.003394451,0.003394458,0.003394417
100,0.020179629,0.020179625,0.919281313,0.020179808,0.020179625
101,0.013921294,0.013921294,0.013921294,0.013921294,0.944314824
102,0.002766815,0.988932839,0.002766785,0.002766762,0.0027668
103,0.026030684,0.026030684,0.621143821,0.026030684,0.300764127
104,0.002166047,0.991335877,0.002166027,0.00216602,0.00216603
105,0.013921571,0.013921441,0.013921946,0.013921294,0.944313747
106,0.002532695,0.27338774,0.002532622,0.00253265,0.719014293
107,0.026030684,0.026030684,0.895877263,0.026030684,0.026030684
108,0.006675761,0.006675595,0.973297283,0.006675505,0.006675856
109,0.075541584,0.002948643,0.915612665,0.002948461,0.002948647
110,0.06196273,0.06196273,0.75214908,0.06196273,0.06196273
111,0.026030684,0.026030684,0.895877263,0.026030684,0.026030684
112,0.005458017,0.005457957,0.005458015,0.978167994,0.005458017
113,0.036663377,0.036661246,0.036662008,0.853352005,0.036661365
114,0.965630431,0.008592453,0.008592311,0.008592077,0.008592729
